DIVISION_NUM,DIVISION_NAME,REGION_NUM
01,New England,01
02,Middle Atlantic,01
03,East North Central,02
04,West North Central,02
05,South Atlantic,03
06,East South Central,03
07,West South Central,03
08,Mountain,04
09,Pacific,04
